word,phonetic_spelling,phonemes
and,and,AE  N D
anger,ANG-ger,AE  NG G ER
angle,ANG-gul,AE  NG G AH  L
angry,ANG-gree,AE  NG G R IY
animal,AN-uh-muhl,AE  N AH  M AH  L
ankle,ANG-kul,AE  NG K AH  L
anniversary,an-uh-VUR-suh-ree,AE  N AH  V ER  S ER  IY
announce,uh-NOWNS,AH  N AW  N S
announcement,uh-NOWNS-muhnt,AH  N AW  N S M AH  N T
annoy,uh-NOY,AH  N OY
annoyed,uh-NOYD,AH  N OY  D
annoying,uh-NOY-ing,AH  N OY  IH  NG
annual,AN-yoo-uhl,AE  N Y UW  AH  L
another,uh-NUH-thur,AH  N AH  DH ER
answer,AN-suhr,AE  N S ER
anxious,ANGK-shuhs,AE  NG K SH AH  S
any,EN-ee,EH  N IY
anybody,EN-ee-bah-dee,EH  N IY  B AH  D IY
anymore,EN-ee-mawr,EH  N IY  M AO  R
anyone,EN-ee-wuhn,EH  N IY  W AH  N
anything,EN-ee-thing,EH  N IY  TH IH  NG
anyway,EN-ee-way,EH  N IY  W EY
anywhere,EN-ee-wair,EH  N IY  W EH  R
apart,uh-PART,AH  P AA  R T
apartment,uh-PART-muhnt,AH  P AA  R T M AH  N T
apologize,uh-POL-uh-jyz,AH  P AA  L AH  JH AY  Z
app,ap,AE  P
apparent,uh-PAR-uhnt,AH  P EH  R AH  N T
apparently,uh-PAR-uhnt-lee,AH  P EH  R AH  N T L IY
appeal,uh-PEEL,AH  P IY  L
appear,uh-PEER,AH  P IH  R
appearance,uh-PEER-uhns,AH  P IH  R AH  N S
apple,AP-uhl,AE  P AH  L
application,ap-luh-KAY-shun,AE  P L AH  K EY  SH AH  N
apply,uh-PLY,AH  P L AY
appointment,uh-POINT-muhnt,AH  P OY  N T M AH  N T
appreciate,uh-PREE-shee-ayt,AH  P R IY  SH IY  EY  T
approach,uh-PROHCH,AH  P R OW  CH
appropriate,uh-PROH-pree-uht (adjective) / uh-PROH-pree-ayt (verb),AH  P R OW  P R IY  AH  T
approval,uh-PROO-vuhl,AH  P R UW  V AH  L
approve,uh-PROOV,AH  P R UW  V
approximately,uh-PROK-suh-mit-lee,AH  P R AA  K S AH  M AH  T L IY
April,AY-pruhl,EY  P R AH  L
architect,AR-kuh-tekt,AA  R K AH  T EH  K T
architecture,AR-kuh-tek-chur,AA  R K AH  T EH  K CH ER
area,AIR-ee-uh,EH  R IY  AH
argue,AR-gyoo,AA  R G Y UW
argument,AR-gyuh-muhnt,AA  R G Y AH  M AH  N T
arise,uh-RYZ,ER  AY  Z
arm,arm,AA  R M
armed,armd,AA  R M D
arms,armz,AA  R M Z
army,AR-mee,AA  R M IY
around,uh-ROWND,ER  AW  N D
arrange,uh-RAYNJ,ER  EY  N JH
arrangement,uh-RAYNJ-muhnt,ER  EY  N JH M AH  N T
arrest,uh-REST,ER  EH  S T
arrival,uh-RY-vuhl,ER  AY  V AH  L
arrive,uh-RYV,ER  AY  V
art,art,AA  R T
article,AR-ti-kuhl,AA  R T AH  K AH  L
artificial,ar-tuh-FISH-uhl,AA  R T AH  F IH  SH AH  L
artist,AR-tist,AA  R T AH  S T
artistic,ar-TIS-tik,AA  R T IH  S T IH  K
as,az,AE  Z
ashamed,uh-SHAYMD,AH  SH EY  M D
aside,uh-SYD,AH  S AY  D
ask,ask,AE  S K
asleep,uh-SLEEP,AH  S L IY  P
